Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1984","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1985","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1985","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1986","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1986","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1987","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1987","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1988","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1988","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1989","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1989","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1990","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1990","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1991","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1991","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1992","t","25710"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1992","kg/ha","22.81"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1993","t","12005"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1993","kg/ha","11.15"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1994","t","4999"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1994","kg/ha","5.2"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1995","t","4000"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1995","kg/ha","4.51"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1996","t","2572"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1996","kg/ha","2.87"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1997","t","4334"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1997","kg/ha","4.82"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1998","t","4379"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1998","kg/ha","4.87"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","1999","t","4001"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1999","kg/ha","4.59"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2000","t","6448"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2000","kg/ha","7.54"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2001","t","3983"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2001","kg/ha","5.72"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2002","t","4015"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2002","kg/ha","6.36"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2003","t","6181"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2003","kg/ha","11.02"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2004","t","7420"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2004","kg/ha","13.89"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2005","t","6283"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2005","kg/ha","10.42"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2006","t","8099"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2006","kg/ha","14.26"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2007","t","8061"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2007","kg/ha","13.27"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2008","t","9590"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2008","kg/ha","15.83"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2009","t","5660"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2009","kg/ha","9.36"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2010","t","6117"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2010","kg/ha","9.38"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2011","t","6139"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2011","kg/ha","9.6"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2012","t","6769"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2012","kg/ha","10.79"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2013","t","7166"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2013","kg/ha","11.18"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2014","t","8646"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2014","kg/ha","13.16"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2015","t","8066"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2015","kg/ha","11.9"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2016","t","7889"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2016","kg/ha","11.29"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2017","t","9305"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2017","kg/ha","13.56"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2018","t","9303"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2018","kg/ha","13.48"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2019","t","9287"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2019","kg/ha","13.32"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2020","t","11055"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2020","kg/ha","15.82"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2021","t","11354"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2021","kg/ha","16.1"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient phosphate P2O5 (total)","2022","t","8862"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2022","kg/ha","12.45"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1961","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1961","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1962","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1962","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1963","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1963","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1964","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1964","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1965","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1965","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1966","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1966","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1967","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1967","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1968","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1968","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1969","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1969","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1970","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1970","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1971","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1971","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1972","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1972","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1973","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1973","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1974","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1974","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1975","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1975","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1976","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1976","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1977","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1977","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1978","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1978","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1979","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1979","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1980","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1980","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1981","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1981","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1982","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1982","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1983","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1983","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1984","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1984","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1985","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1985","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1986","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1986","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1987","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1987","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1988","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1988","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1989","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1989","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1990","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1990","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1991","",""
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1991","",""
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1992","t","48000"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1992","kg/ha","42.59"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1993","t","23000"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1993","kg/ha","21.36"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1994","t","10300"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1994","kg/ha","10.72"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1995","t","5000"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1995","kg/ha","5.64"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1996","t","3000"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1996","kg/ha","3.35"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1997","t","3000"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1997","kg/ha","3.33"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1998","t","3086"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1998","kg/ha","3.43"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","1999","t","3739"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","1999","kg/ha","4.29"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2000","t","6187"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2000","kg/ha","7.24"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2001","t","6123"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2001","kg/ha","8.8"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2002","t","6292"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2002","kg/ha","9.97"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2003","t","9613"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2003","kg/ha","17.14"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2004","t","11529"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2004","kg/ha","21.59"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2005","t","9705"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2005","kg/ha","16.1"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2006","t","11589"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2006","kg/ha","20.4"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2007","t","12427"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2007","kg/ha","20.45"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2008","t","14952"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2008","kg/ha","24.68"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2009","t","8410"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2009","kg/ha","13.91"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2010","t","9366"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2010","kg/ha","14.36"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2011","t","9286"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2011","kg/ha","14.52"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2012","t","10557"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2012","kg/ha","16.83"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2013","t","11718"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2013","kg/ha","18.28"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2014","t","11361"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2014","kg/ha","17.29"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2015","t","11462"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2015","kg/ha","16.91"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2016","t","10909"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2016","kg/ha","15.61"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2017","t","13070"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2017","kg/ha","19.05"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2018","t","12199"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2018","kg/ha","17.68"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2019","t","11564"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2019","kg/ha","16.59"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2020","t","13236"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2020","kg/ha","18.94"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2021","t","14325"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2021","kg/ha","20.32"
"Fertilizers by Nutrient","Estonia","Agricultural Use","Nutrient potash K2O (total)","2022","t","9731"
"Fertilizers by Nutrient","Estonia","Use per area of cropland","Nutrient potash K2O (total)","2022","kg/ha","13.67"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1961","t","59105"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1961","kg/ha","15.52"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1962","t","62005"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1962","kg/ha","16.19"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1963","t","77560"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1963","kg/ha","20.13"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1964","t","92792"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1964","kg/ha","23.96"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1965","t","104806"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1965","kg/ha","26.96"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1966","t","102991"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1966","kg/ha","26.37"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1967","t","107177"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1967","kg/ha","27.35"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1968","t","115628"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1968","kg/ha","29.47"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1969","t","159955"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1969","kg/ha","42.86"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1970","t","169373"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1970","kg/ha","46.06"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1971","t","182108"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1971","kg/ha","49.92"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1972","t","179440"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1972","kg/ha","50.98"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1973","t","206660"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1973","kg/ha","59.41"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1974","t","226442"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1974","kg/ha","64.77"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1975","t","199315"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1975","kg/ha","56.86"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1976","t","161377"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1976","kg/ha","45.85"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1977","t","168385"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1977","kg/ha","48.69"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1978","t","183322"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1978","kg/ha","53.2"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1979","t","196241"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1979","kg/ha","57.2"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1980","t","196936"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1980","kg/ha","58.12"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1981","t","183581"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1981","kg/ha","54.55"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1982","t","215991"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1982","kg/ha","64.95"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1983","t","204775"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1983","kg/ha","61.94"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1984","t","196060"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1984","kg/ha","59.86"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1985","t","202170"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1985","kg/ha","62.17"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1986","t","212300"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1986","kg/ha","65.72"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1987","t","214586"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1987","kg/ha","65.85"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1988","t","211207"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1988","kg/ha","65.76"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1989","t","231361"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1989","kg/ha","71.57"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1990","t","206400"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1990","kg/ha","63.62"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1991","t","166450"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1991","kg/ha","50.62"
"Fertilizers by Nutrient","Finland","Agricultural Use","Nutrient nitrogen N (total)","1992","t","174000"
"Fertilizers by Nutrient","Finland","Use per area of cropland","Nutrient nitrogen N (total)","1992","kg/ha","53.27"
