Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1990","kg/ha","81.15"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1991","t","132000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1991","kg/ha","77.95"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1992","t","124000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1992","kg/ha","74.1"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1993","t","120000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1993","kg/ha","72.1"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1994","t","121000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1994","kg/ha","72.65"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1995","t","125000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1995","kg/ha","75.4"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1996","t","125309"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1996","kg/ha","75.89"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1997","t","131819"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1997","kg/ha","80.21"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1998","t","127537"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1998","kg/ha","77.77"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1999","t","119492"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1999","kg/ha","73.01"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2000","t","121644"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2000","kg/ha","74.48"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2001","t","117093"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2001","kg/ha","72.28"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2002","t","127585"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2002","kg/ha","78.86"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2003","t","94435"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2003","kg/ha","58.57"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2004","t","100789"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2004","kg/ha","62.76"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2005","t","99702"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2005","kg/ha","62.03"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2006","t","103692"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2006","kg/ha","64.57"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2007","t","103262"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2007","kg/ha","64.36"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2008","t","134382"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2008","kg/ha","84.26"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2009","t","86254"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2009","kg/ha","54.18"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2010","t","90639"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2010","kg/ha","57.08"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2011","t","116751"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2011","kg/ha","73.74"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2012","t","97721"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2012","kg/ha","61.92"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2013","t","112005"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2013","kg/ha","71.02"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2014","t","111615"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2014","kg/ha","70.89"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2015","t","130252"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2015","kg/ha","83.05"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2016","t","122623"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2016","kg/ha","78.19"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2017","t","117704"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2017","kg/ha","75.89"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2018","t","113136"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2018","kg/ha","73.04"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2019","t","98234"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2019","kg/ha","63.5"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2020","t","115676"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2020","kg/ha","74.75"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2021","t","106483"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2021","kg/ha","68.92"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","2022","t","97561"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","2022","kg/ha","63.28"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1961","t","100207"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1961","kg/ha","51.42"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1962","t","115353"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1962","kg/ha","59.46"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1963","t","125687"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1963","kg/ha","65.73"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1964","t","126262"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1964","kg/ha","65.91"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1965","t","131070"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1965","kg/ha","68.27"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1966","t","127322"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1966","kg/ha","67.97"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1967","t","143385"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1967","kg/ha","77.27"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1968","t","115799"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1968","kg/ha","62.33"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1969","t","148967"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1969","kg/ha","79.8"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1970","t","122827"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1970","kg/ha","65.76"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1971","t","136673"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1971","kg/ha","73.17"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1972","t","126022"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1972","kg/ha","67.43"
